City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto baquerizo moreno,-0.9,-89.6,28.55,61,40,8.23,EC,1699815346
83,anadyr,64.75,177.4833,-0.72,92,20,7.0,RU,1699815346
84,udachny,66.4167,112.4,-16.51,95,100,2.61,RU,1699815346
85,lebu,-37.6167,-73.65,11.4,56,3,8.12,CL,1699815346
86,enewetak,11.3474,162.3373,28.01,78,100,9.0,MH,1699815347
87,necochea,-38.5473,-58.7368,13.73,43,100,7.34,AR,1699815347
88,trincomalee,8.5711,81.2335,26.56,85,100,5.83,LK,1699815347
89,sola,-13.8833,167.55,24.37,94,100,7.72,VU,1699815347
90,kharp,66.8014,65.8081,-11.03,90,12,3.78,RU,1699815347
91,puerto natales,-51.7236,-72.4875,12.25,50,75,8.75,CL,1699815348
92,aripuana,-9.1667,-60.6333,34.96,41,67,0.91,BR,1699815348
93,margaret river,-33.95,115.0667,14.09,86,100,5.43,AU,1699815348
94,las lomitas,-24.7096,-60.593,46.25,16,89,5.74,AR,1699815348
95,taroa,8.7058,171.2275,28.21,81,99,8.28,MH,1699815092
96,puerto armuelles,8.2833,-82.8667,30.99,84,100,3.13,PA,1699815348
97,essaouira,31.5125,-9.77,24.72,41,40,0.51,MA,1699815349
98,point pedro,9.8167,80.2333,27.95,74,100,7.49,LK,1699815349
99,inhambane,-23.865,35.3833,25.0,83,20,2.24,MZ,1699815349
100,iskateley,67.6803,53.1512,-8.32,94,16,2.68,RU,1699815349
101,egilsstadir,65.2653,-14.3948,-2.05,86,75,1.03,IS,1699815349
102,arica,-18.475,-70.3042,24.75,64,0,8.23,CL,1699815349
103,bergerac,44.8333,0.5,16.12,88,100,4.12,FR,1699815349
104,san patricio,28.017,-97.5169,16.97,93,100,4.08,US,1699815350
105,karratha,-20.7377,116.8463,22.38,64,6,6.53,AU,1699815350
106,antofagasta,-23.65,-70.4,19.6,67,10,5.82,CL,1699815350
107,vila velha,-20.3297,-40.2925,32.97,73,0,6.69,BR,1699815255
108,howard springs,-12.497,131.047,26.95,80,84,2.11,AU,1699815350
109,novohrad-volynskyi,50.5941,27.6165,5.83,79,100,8.0,UA,1699815350
110,georgetown,5.4112,100.3354,27.97,89,20,1.03,MY,1699815068
111,olonkinbyen,70.9221,-8.7187,-3.18,67,98,2.64,SJ,1699815351
112,okhotsk,59.3833,143.3,-17.77,82,2,10.44,RU,1699815351
113,sosnovo-ozerskoye,52.5249,111.5418,-15.04,95,10,2.17,RU,1699815351
114,yuzhno-kurilsk,44.0306,145.8556,2.43,80,25,2.98,RU,1699815351
115,itaituba,-4.2761,-55.9836,35.09,46,20,3.6,BR,1699815351
116,praskoveya,44.7444,44.2031,13.35,71,100,1.58,RU,1699815351
117,vorkuta,67.5,64.0,-9.37,94,15,4.87,RU,1699815352
118,capim grosso,-11.3811,-40.0128,34.94,18,40,4.0,BR,1699815352
119,falam,22.9167,93.6833,12.66,97,7,0.45,MM,1699815352
120,vorgashor,67.5833,63.95,-9.51,94,18,5.05,RU,1699815352
121,babruysk,53.15,29.2333,4.04,96,100,7.48,BY,1699815352
122,yellowknife,62.456,-114.3525,-5.88,97,100,9.26,CA,1699815352
123,jamestown,42.097,-79.2353,8.9,49,0,1.34,US,1699815159
124,qaqortoq,60.7167,-46.0333,-5.86,83,2,0.8,GL,1699815352
125,spassk-dal'niy,44.5978,132.8211,-8.66,81,100,3.33,RU,1699815353
126,leua,48.2156,18.6071,5.83,78,6,1.13,SK,1699815353
127,arar,30.9753,41.0381,20.01,26,0,3.09,SA,1699815353
128,mont-dore,-22.2833,166.5833,23.33,99,100,3.97,NC,1699815353
129,katabu,-4.9333,122.5167,23.26,89,60,1.19,ID,1699815353
130,taguatinga,-12.3857,-46.5711,39.98,12,9,2.16,BR,1699815353
131,coquimbo,-29.9533,-71.3436,18.85,59,0,7.2,CL,1699815353
132,east london,-33.0153,27.9116,17.0,70,0,6.18,ZA,1699815354
133,bathsheba,13.2167,-59.5167,29.34,79,40,9.26,BB,1699815354
